SetFilter	SetFilter	RangeFilter	RangeFilter	RangeFilter	SetFilter	SetFilter	SetFilter	SetFilter	SetFilter	RangeFilter	Unit	Value	Value	Value	Value	Value	Value	Value	Value
ObsName	ObsGroup	X[m]	Y[m]	Z[m]	ConductivityZone	Layer	GageType	GageMeasurement	Species	Time[day]	Unit	Calc.	Obs.	Residual	TargetResidual	NormalizedCalc.	NormalizedObs.	NormalizedResidual	NormalizedTargetResidual
2799/A	IrrigationSaltObs	461453.5943	4327966.843	-4.132318	1	3	None	Concentration	Chloride	365	mg/L	15.3378650582303	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2800/A	IrrigationSaltObs	462215.393	4327836.282	-4.782386	1	3	None	Concentration	Chloride	365	mg/L	15.1902993179205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2801/A	IrrigationSaltObs	461944.4383	4327896.807	-4.580469	1	3	None	Concentration	Chloride	365	mg/L	15.2637697133697	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2802/A	IrrigationSaltObs	462951.4224	4328592.888	-5.274344	1	3	None	Concentration	Chloride	365	mg/L	16.4150581547689	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2803/A	IrrigationSaltObs	462656.3017	4330977.702	-5.14265	1	2	None	Concentration	Chloride	365	mg/L	30.5489424129252	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2804/A	IrrigationSaltObs	463244.2566	4331072.577	-6.511713	1	3	None	Concentration	Chloride	365	mg/L	112.161706242166	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2805/A	IrrigationSaltObs	463071.7797	4331455.663	-5.996724	1	3	None	Concentration	Chloride	365	mg/L	136.111525668841	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2806/A	IrrigationSaltObs	462619.0904	4331433.266	-4.842101	1	3	None	Concentration	Chloride	365	mg/L	20.1109769368955	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2807/A	IrrigationSaltObs	458867.3429	4333675.066	-2.227407	1	3	None	Concentration	Chloride	365	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2808/A	IrrigationSaltObs	460909.2767	4335705.763	-4.913079	1	3	None	Concentration	Chloride	365	mg/L	15.0067631603972	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2810/A	IrrigationSaltObs	458166.3758	4335507.286	-3.498417	1	3	None	Concentration	Chloride	365	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2811/A	IrrigationSaltObs	459770.9228	4337221.377	-3.260187	1	3	None	Concentration	Chloride	365	mg/L	15.0000058334843	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2812/A	IrrigationSaltObs	456459.49	4339918.444	-4.402609	1	3	None	Concentration	Chloride	365	mg/L	15.0001544861383	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2813/A	IrrigationSaltObs	455558.0569	4340589.914	-4.969889	1	3	None	Concentration	Chloride	365	mg/L	14.9999890369484	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2829/A	IrrigationSaltObs	456042.1679	4342626.053	-4.991369	1	3	None	Concentration	Chloride	365	mg/L	15.1204609975557	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2830/A	IrrigationSaltObs	457120.7151	4341854.651	-5.523475	1	3	None	Concentration	Chloride	365	mg/L	15.0003242274654	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2831/A	IrrigationSaltObs	456637.4536	4340467.155	-4.928412	1	3	None	Concentration	Chloride	365	mg/L	15.9361860884465	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2832/A	IrrigationSaltObs	456921.556	4340617.369	-5.009344	1	3	None	Concentration	Chloride	365	mg/L	15.0601185713677	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2833/A	IrrigationSaltObs	457665.2221	4339933.735	-2.520397	1	3	None	Concentration	Chloride	365	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2834/A	IrrigationSaltObs	458862.0123	4339571.179	-3.583901	1	3	None	Concentration	Chloride	365	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2835/A	IrrigationSaltObs	460160.5618	4339164.991	-5.399377	1	3	None	Concentration	Chloride	365	mg/L	15.161876776762	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
