SetFilter	SetFilter	RangeFilter	RangeFilter	RangeFilter	SetFilter	SetFilter	SetFilter	SetFilter	SetFilter	RangeFilter	Unit	Value	Value	Value	Value	Value	Value	Value	Value
ObsName	ObsGroup	X[m]	Y[m]	Z[m]	ConductivityZone	Layer	GageType	GageMeasurement	Species	Time[day]	Unit	Calc.	Obs.	Residual	TargetResidual	NormalizedCalc.	NormalizedObs.	NormalizedResidual	NormalizedTargetResidual
85023/A	DoverSaltObs	459268	4336556	-4.32	1	3	None	Concentration	Chloride	9855	mg/L	15.0081038571687	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85025/A	DoverSaltObs	457943.5	4338965	-4.05	1	3	None	Concentration	Chloride	9855	mg/L	15.0005743242561	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie31-07/A	DGS_WiCCED_ObsWells	457650	4339591	0.58	1	2	None	Flow	Head	9855	m	3.44199292379519	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie32-02/A	DGS_WiCCED_ObsWells	458418	4340071	1.8	1	1	None	Flow	Head	9855	m	3.14388290553068	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie32-07/A	DGS_WiCCED_ObsWells	459474	4339415	-4.57	1	2	None	Flow	Head	9855	m	1.82742443175809	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie43-07/A	DGS_WiCCED_ObsWells	460044	4337681	-4.3	1	3	None	Flow	Head	9855	m	-0.741710007422828	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie43-09/A	DGS_WiCCED_ObsWells	460848	4338543	-11.66	1	4	None	Flow	Head	9855	m	0.385962031832554	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie43-14/A	DGS_WiCCED_ObsWells	460846	4338547	-0.71	1	1	None	Flow	Head	9855	m	0.385991487795396	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-03/A	DGS_WiCCED_ObsWells	461172	4338218	-7.52	1	3	None	Flow	Head	9855	m	0.0206656723165723	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-07/A	DGS_WiCCED_ObsWells	461629	4337534	-0.29	1	1	None	Flow	Head	9855	m	0.710848803349492	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-11/A	DGS_WiCCED_ObsWells	461247	4338390	-6.78	1	3	None	Flow	Head	9855	m	-0.195110089492716	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-12/A	DGS_WiCCED_ObsWells	461387	4339011	-12.74	1	4	None	Flow	Head	9855	m	0.0334842444059254	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-13/A	DGS_WiCCED_ObsWells	461580	4338881	-1.15	2	1	None	Flow	Head	9855	m	0.010772566440387	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-14/A	DGS_WiCCED_ObsWells	461592	4338906	-0.93	2	1	None	Flow	Head	9855	m	0.0421470151058845	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie53-15/A	DGS_WiCCED_ObsWells	460856	4336690	-3.47	1	3	None	Flow	Head	9855	m	1.90826425793349	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie53-16/A	DGS_WiCCED_ObsWells	460064	4335673	-6.96	1	4	None	Flow	Head	9855	m	2.26412276545154	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie55-03/A	DGS_WiCCED_ObsWells	462607	4336235	-3.74	1	2	None	Flow	Head	9855	m	1.62839868141475	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2718/A	IrrigationSaltObs	461412.2428	4327578.222	-5.369485	1	3	None	Concentration	Chloride	10220	mg/L	527.598844372173	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2719/A	IrrigationSaltObs	462777.4982	4326960.429	-6.092845	1	3	None	Concentration	Chloride	10220	mg/L	20.2998557208051	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2720/A	IrrigationSaltObs	462389.9725	4328358.525	-4.709344	1	3	None	Concentration	Chloride	10220	mg/L	16.1691642806825	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2721/A	IrrigationSaltObs	462567.0397	4327690.122	-5.116992	1	3	None	Concentration	Chloride	10220	mg/L	15.2841873162505	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2722/A	IrrigationSaltObs	463348.9185	4328267.991	-5.621007	1	3	None	Concentration	Chloride	10220	mg/L	16.8363366609979	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2723/A	IrrigationSaltObs	462003.266	4327315.258	-5.791851	1	3	None	Concentration	Chloride	10220	mg/L	251.471563429077	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2724/A	IrrigationSaltObs	462670.5613	4328726.014	-4.997297	1	2	None	Concentration	Chloride	10220	mg/L	36.2732732113667	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2725/A	IrrigationSaltObs	461912.3593	4330249.241	-3.777174	1	3	None	Concentration	Chloride	10220	mg/L	15.0470933576514	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2726/A	IrrigationSaltObs	461195.1208	4328784.171	-3.565586	1	3	None	Concentration	Chloride	10220	mg/L	20.5162160682246	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2727/A	IrrigationSaltObs	462750.0918	4329808.284	-4.95057	1	3	None	Concentration	Chloride	10220	mg/L	2128.95884057176	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2728/A	IrrigationSaltObs	460871.5955	4332166.449	-4.24318	1	3	None	Concentration	Chloride	10220	mg/L	59.7818151005027	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2729/A	IrrigationSaltObs	458563.9337	4334593.304	-2.202337	1	3	None	Concentration	Chloride	10220	mg/L	15.0000189146166	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2730/A	IrrigationSaltObs	461994.9319	4330880.609	-3.845695	1	3	None	Concentration	Chloride	10220	mg/L	15.0211243346087	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2731/A	IrrigationSaltObs	457780.7617	4334765.595	-3.166773	1	3	None	Concentration	Chloride	10220	mg/L	14.9999997202437	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2732/A	IrrigationSaltObs	460936.6531	4334875.669	-6.312921	1	3	None	Concentration	Chloride	10220	mg/L	1780.50039768387	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2733/A	IrrigationSaltObs	460063.9103	4334432.631	-4.3968	1	2	None	Concentration	Chloride	10220	mg/L	200.230749500587	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2734/A	IrrigationSaltObs	460316.5256	4336395.516	-3.347397	1	3	None	Concentration	Chloride	10220	mg/L	15.0012890666174	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2735/A	IrrigationSaltObs	459355.4548	4334391.883	-2.600706	1	2	None	Concentration	Chloride	10220	mg/L	15.0644782969535	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2736/A	IrrigationSaltObs	456096.6765	4340828.816	-5.329345	1	3	None	Concentration	Chloride	10220	mg/L	42.0129268324972	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2739/A	IrrigationSaltObs	459201.9391	4337923.092	-3.647995	1	3	None	Concentration	Chloride	10220	mg/L	525.364203258284	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2741/A	IrrigationSaltObs	455323.0735	4342945.421	-5.603173	1	3	None	Concentration	Chloride	10220	mg/L	16.3123253963305	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2753/A	IrrigationSaltObs	456822.2385	4341470.586	-5.408768	1	3	None	Concentration	Chloride	10220	mg/L	57.3390033149674	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2754/A	IrrigationSaltObs	456481.3873	4340994.578	-5.335289	1	2	None	Concentration	Chloride	10220	mg/L	533.243127252536	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2756/A	IrrigationSaltObs	457117.4575	4340123.048	-3.46957	1	3	None	Concentration	Chloride	10220	mg/L	15.2783854467616	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2757/A	IrrigationSaltObs	459861.1556	4338952.498	-4.962679	1	3	None	Concentration	Chloride	10220	mg/L	316.80615454083	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2758/A	IrrigationSaltObs	459622.064	4339842.868	-4.234622	1	2	None	Concentration	Chloride	10220	mg/L	18.937725582939	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2759/A	IrrigationSaltObs	460640.4226	4339273.945	-5.886083	1	2	None	Concentration	Chloride	10220	mg/L	2867.15099113803	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2761/A	IrrigationSaltObs	461790.9104	4338160.1	-5.805945	1	3	None	Concentration	Chloride	10220	mg/L	2233.82460426154	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2762/A	IrrigationSaltObs	461252.7615	4338389.832	-5.546266	1	3	None	Concentration	Chloride	10220	mg/L	1399.21678778273	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2799/A	IrrigationSaltObs	461453.5943	4327966.843	-4.132318	1	3	None	Concentration	Chloride	10220	mg/L	89.3903428709417	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2800/A	IrrigationSaltObs	462215.393	4327836.282	-4.782386	1	3	None	Concentration	Chloride	10220	mg/L	25.3841797831517	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2801/A	IrrigationSaltObs	461944.4383	4327896.807	-4.580469	1	3	None	Concentration	Chloride	10220	mg/L	39.1643991950774	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2802/A	IrrigationSaltObs	462951.4224	4328592.888	-5.274344	1	3	None	Concentration	Chloride	10220	mg/L	37.9636213854705	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2803/A	IrrigationSaltObs	462656.3017	4330977.702	-5.14265	1	2	None	Concentration	Chloride	10220	mg/L	30.6357266851312	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2804/A	IrrigationSaltObs	463244.2566	4331072.577	-6.511713	1	3	None	Concentration	Chloride	10220	mg/L	145.072777306991	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2805/A	IrrigationSaltObs	463071.7797	4331455.663	-5.996724	1	3	None	Concentration	Chloride	10220	mg/L	151.520025158202	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2806/A	IrrigationSaltObs	462619.0904	4331433.266	-4.842101	1	3	None	Concentration	Chloride	10220	mg/L	19.827283355158	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2807/A	IrrigationSaltObs	458867.3429	4333675.066	-2.227407	1	3	None	Concentration	Chloride	10220	mg/L	15.0000050984288	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2808/A	IrrigationSaltObs	460909.2767	4335705.763	-4.913079	1	3	None	Concentration	Chloride	10220	mg/L	15.7168853080304	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2810/A	IrrigationSaltObs	458166.3758	4335507.286	-3.498417	1	3	None	Concentration	Chloride	10220	mg/L	15.0003271992643	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2811/A	IrrigationSaltObs	459770.9228	4337221.377	-3.260187	1	3	None	Concentration	Chloride	10220	mg/L	73.2506204550719	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2812/A	IrrigationSaltObs	456459.49	4339918.444	-4.402609	1	3	None	Concentration	Chloride	10220	mg/L	32.2955769717354	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2813/A	IrrigationSaltObs	455558.0569	4340589.914	-4.969889	1	3	None	Concentration	Chloride	10220	mg/L	15.5379658062917	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2829/A	IrrigationSaltObs	456042.1679	4342626.053	-4.991369	1	3	None	Concentration	Chloride	10220	mg/L	17.3389735904113	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2830/A	IrrigationSaltObs	457120.7151	4341854.651	-5.523475	1	3	None	Concentration	Chloride	10220	mg/L	29.255532422479	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2831/A	IrrigationSaltObs	456637.4536	4340467.155	-4.928412	1	3	None	Concentration	Chloride	10220	mg/L	641.920297282484	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2832/A	IrrigationSaltObs	456921.556	4340617.369	-5.009344	1	3	None	Concentration	Chloride	10220	mg/L	859.285138947719	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2833/A	IrrigationSaltObs	457665.2221	4339933.735	-2.520397	1	3	None	Concentration	Chloride	10220	mg/L	15.0009832658029	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2834/A	IrrigationSaltObs	458862.0123	4339571.179	-3.583901	1	3	None	Concentration	Chloride	10220	mg/L	15.0047990242223	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2835/A	IrrigationSaltObs	460160.5618	4339164.991	-5.399377	1	3	None	Concentration	Chloride	10220	mg/L	1096.2701784145	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2836/A	IrrigationSaltObs	460320.4462	4338548.569	-4.842866	1	3	None	Concentration	Chloride	10220	mg/L	1279.72116745427	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2908/A	IrrigationSaltObs	454679.151	4342585.904	-5.715103	1	3	None	Concentration	Chloride	10220	mg/L	1487.58659464803	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2909/A	IrrigationSaltObs	454716.5805	4341988.357	-4.875322	1	2	None	Concentration	Chloride	10220	mg/L	46.7718980449951	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2910/A	IrrigationSaltObs	455874.5702	4341079.125	-4.974936	1	3	None	Concentration	Chloride	10220	mg/L	16.171645362365	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2911/A	IrrigationSaltObs	454193.8344	4341476.824	-4.504099	1	3	None	Concentration	Chloride	10220	mg/L	15.0202049250903	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2912/A	IrrigationSaltObs	453831.764	4341274.286	-4.007875	1	3	None	Concentration	Chloride	10220	mg/L	14.9494936106901	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2915/A	IrrigationSaltObs	453105.5524	4340969.183	-2.936796	1	3	None	Concentration	Chloride	10220	mg/L	14.8306856020243	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2926/A	IrrigationSaltObs	452884.5497	4340684.665	-2.109071	1	3	None	Concentration	Chloride	10220	mg/L	14.6923565655928	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2930/A	IrrigationSaltObs	459025.7858	4338866.46	-3.630916	1	3	None	Concentration	Chloride	10220	mg/L	66.4693623604063	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2931/A	IrrigationSaltObs	460679.0957	4337218.504	-3.088068	1	3	None	Concentration	Chloride	10220	mg/L	15.3873088950482	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2932/A	IrrigationSaltObs	458200.9648	4336308.432	-3.386235	1	3	None	Concentration	Chloride	10220	mg/L	15.0000675611969	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2940/A	IrrigationSaltObs	461331.9013	4333510.749	-5.802387	1	3	None	Concentration	Chloride	10220	mg/L	20.9978418627655	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2941/A	IrrigationSaltObs	461214.8705	4332639.127	-4.257684	1	3	None	Concentration	Chloride	10220	mg/L	17.44025225531	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2942/A	IrrigationSaltObs	461211.1636	4333120.362	-5.059697	1	3	None	Concentration	Chloride	10220	mg/L	79.8490901134233	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2943/A	IrrigationSaltObs	462420.3851	4331960.788	-4.701215	1	3	None	Concentration	Chloride	10220	mg/L	36.2155391442326	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2944/A	IrrigationSaltObs	460918.7232	4332732.719	-4.875654	1	3	None	Concentration	Chloride	10220	mg/L	23.8584569785435	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2952/A	IrrigationSaltObs	462095.332	4331334.69	-3.962609	1	3	None	Concentration	Chloride	10220	mg/L	15.0316381329014	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2953/A	IrrigationSaltObs	462850.6762	4331690.153	-5.572544	1	2	None	Concentration	Chloride	10220	mg/L	115.845128115525	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2963/A	IrrigationSaltObs	463439.2537	4328810.655	-5.957284	1	3	None	Concentration	Chloride	10220	mg/L	1252.87862891647	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
59727/A	DoverSaltObs	458465.5	4337384	-4.135	1	3	None	Concentration	Chloride	10220	mg/L	15.0372418754427	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85020/A	DoverSaltObs	458505	4338401	-3.91	1	3	None	Concentration	Chloride	10220	mg/L	16.0386013113784	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85021/A	DoverSaltObs	458605	4338200	-3.975	1	3	None	Concentration	Chloride	10220	mg/L	21.4852450678478	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85022/A	DoverSaltObs	459018	4337221	-4.19	1	3	None	Concentration	Chloride	10220	mg/L	15.6374109737217	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85023/A	DoverSaltObs	459268	4336556	-4.32	1	3	None	Concentration	Chloride	10220	mg/L	15.0091185758409	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
85025/A	DoverSaltObs	457943.5	4338965	-4.05	1	3	None	Concentration	Chloride	10220	mg/L	15.000584096978	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie31-07/A	DGS_WiCCED_ObsWells	457650	4339591	0.58	1	2	None	Flow	Head	10220	m	3.40658477366733	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie32-02/A	DGS_WiCCED_ObsWells	458418	4340071	1.8	1	1	None	Flow	Head	10220	m	3.11393698029735	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie32-07/A	DGS_WiCCED_ObsWells	459474	4339415	-4.57	1	2	None	Flow	Head	10220	m	1.80514284284949	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie43-07/A	DGS_WiCCED_ObsWells	460044	4337681	-4.3	1	3	None	Flow	Head	10220	m	-0.831468477891127	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie43-09/A	DGS_WiCCED_ObsWells	460848	4338543	-11.66	1	4	None	Flow	Head	10220	m	0.352065154481268	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie43-14/A	DGS_WiCCED_ObsWells	460846	4338547	-0.71	1	1	None	Flow	Head	10220	m	0.35213278424215	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-03/A	DGS_WiCCED_ObsWells	461172	4338218	-7.52	1	3	None	Flow	Head	10220	m	-0.0239259854790934	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-07/A	DGS_WiCCED_ObsWells	461629	4337534	-0.29	1	1	None	Flow	Head	10220	m	0.655426436685963	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-11/A	DGS_WiCCED_ObsWells	461247	4338390	-6.78	1	3	None	Flow	Head	10220	m	-0.231944803608891	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-12/A	DGS_WiCCED_ObsWells	461387	4339011	-12.74	1	4	None	Flow	Head	10220	m	0.017512835631187	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-13/A	DGS_WiCCED_ObsWells	461580	4338881	-1.15	2	1	None	Flow	Head	10220	m	-0.0114941785012156	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie44-14/A	DGS_WiCCED_ObsWells	461592	4338906	-0.93	2	1	None	Flow	Head	10220	m	0.0209604110207653	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie53-15/A	DGS_WiCCED_ObsWells	460856	4336690	-3.47	1	3	None	Flow	Head	10220	m	1.83138412000573	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie53-16/A	DGS_WiCCED_ObsWells	460064	4335673	-6.96	1	4	None	Flow	Head	10220	m	2.2041151705237	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Ie55-03/A	DGS_WiCCED_ObsWells	462607	4336235	-3.74	1	2	None	Flow	Head	10220	m	1.60866062465784	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2718/A	IrrigationSaltObs	461412.2428	4327578.222	-5.369485	1	3	None	Concentration	Chloride	10585	mg/L	667.620155197253	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2719/A	IrrigationSaltObs	462777.4982	4326960.429	-6.092845	1	3	None	Concentration	Chloride	10585	mg/L	20.3767304557626	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2720/A	IrrigationSaltObs	462389.9725	4328358.525	-4.709344	1	3	None	Concentration	Chloride	10585	mg/L	16.4652345547709	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2721/A	IrrigationSaltObs	462567.0397	4327690.122	-5.116992	1	3	None	Concentration	Chloride	10585	mg/L	15.3214423143186	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2722/A	IrrigationSaltObs	463348.9185	4328267.991	-5.621007	1	3	None	Concentration	Chloride	10585	mg/L	17.1495022883751	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2723/A	IrrigationSaltObs	462003.266	4327315.258	-5.791851	1	3	None	Concentration	Chloride	10585	mg/L	325.495216038016	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2724/A	IrrigationSaltObs	462670.5613	4328726.014	-4.997297	1	2	None	Concentration	Chloride	10585	mg/L	39.5157232657836	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2725/A	IrrigationSaltObs	461912.3593	4330249.241	-3.777174	1	3	None	Concentration	Chloride	10585	mg/L	15.0474492905304	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2726/A	IrrigationSaltObs	461195.1208	4328784.171	-3.565586	1	3	None	Concentration	Chloride	10585	mg/L	21.3664414091295	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2727/A	IrrigationSaltObs	462750.0918	4329808.284	-4.95057	1	3	None	Concentration	Chloride	10585	mg/L	2192.82612398377	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2728/A	IrrigationSaltObs	460871.5955	4332166.449	-4.24318	1	3	None	Concentration	Chloride	10585	mg/L	63.138634328292	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2729/A	IrrigationSaltObs	458563.9337	4334593.304	-2.202337	1	3	None	Concentration	Chloride	10585	mg/L	15.0000286384779	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2730/A	IrrigationSaltObs	461994.9319	4330880.609	-3.845695	1	3	None	Concentration	Chloride	10585	mg/L	15.0202170380668	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2731/A	IrrigationSaltObs	457780.7617	4334765.595	-3.166773	1	3	None	Concentration	Chloride	10585	mg/L	14.9999997202437	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2732/A	IrrigationSaltObs	460936.6531	4334875.669	-6.312921	1	3	None	Concentration	Chloride	10585	mg/L	1823.64273023786	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2733/A	IrrigationSaltObs	460063.9103	4334432.631	-4.3968	1	2	None	Concentration	Chloride	10585	mg/L	223.244153074032	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2734/A	IrrigationSaltObs	460316.5256	4336395.516	-3.347397	1	3	None	Concentration	Chloride	10585	mg/L	15.0014775701927	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2735/A	IrrigationSaltObs	459355.4548	4334391.883	-2.600706	1	2	None	Concentration	Chloride	10585	mg/L	15.085965595092	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2736/A	IrrigationSaltObs	456096.6765	4340828.816	-5.329345	1	3	None	Concentration	Chloride	10585	mg/L	42.468930751531	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2739/A	IrrigationSaltObs	459201.9391	4337923.092	-3.647995	1	3	None	Concentration	Chloride	10585	mg/L	531.596074460413	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2741/A	IrrigationSaltObs	455323.0735	4342945.421	-5.603173	1	3	None	Concentration	Chloride	10585	mg/L	17.1554660015271	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2753/A	IrrigationSaltObs	456822.2385	4341470.586	-5.408768	1	3	None	Concentration	Chloride	10585	mg/L	71.008591715041	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2754/A	IrrigationSaltObs	456481.3873	4340994.578	-5.335289	1	2	None	Concentration	Chloride	10585	mg/L	540.163248416235	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2756/A	IrrigationSaltObs	457117.4575	4340123.048	-3.46957	1	3	None	Concentration	Chloride	10585	mg/L	15.2974200697786	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2757/A	IrrigationSaltObs	459861.1556	4338952.498	-4.962679	1	3	None	Concentration	Chloride	10585	mg/L	388.16347290677	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2758/A	IrrigationSaltObs	459622.064	4339842.868	-4.234622	1	2	None	Concentration	Chloride	10585	mg/L	19.1177956529405	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2759/A	IrrigationSaltObs	460640.4226	4339273.945	-5.886083	1	2	None	Concentration	Chloride	10585	mg/L	2937.69619808855	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2761/A	IrrigationSaltObs	461790.9104	4338160.1	-5.805945	1	3	None	Concentration	Chloride	10585	mg/L	2306.77556570232	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2762/A	IrrigationSaltObs	461252.7615	4338389.832	-5.546266	1	3	None	Concentration	Chloride	10585	mg/L	1487.15078527921	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2799/A	IrrigationSaltObs	461453.5943	4327966.843	-4.132318	1	3	None	Concentration	Chloride	10585	mg/L	113.395999626211	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2800/A	IrrigationSaltObs	462215.393	4327836.282	-4.782386	1	3	None	Concentration	Chloride	10585	mg/L	27.1885742529365	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
